seed,tag,layer,relation,align_before,align_after,align_delta,acc_eng,acc_fr_unaligned,acc_fr_aligned,acc_fr_upper,m_fr_unal,m_fr_al,m_fr_star,cos_raw_weng_wfrstar,cos_wfrhat_wfrstar,r,n_train,n_test,shuffle_train_pairs,condition,acc_gain_fr,margin_gain_fr,cos_gain
0,shuffled,30,__all__,0.5051511526107788,-0.09915116720942563,-0.6043023198202044,0.9,0.8,0.425,0.75,0.24154487252235413,0.05360690707058694,0.7275487780570984,0.6335742473602295,-0.009558734773614918,256,160,40,True,shuffled,-0.37500000000000006,-0.1879379654517672,-0.6431329821338444
0,shuffled,31,__all__,0.5207032561302185,-0.0866806306307655,-0.607383886760984,0.775,0.65,0.75,0.8,0.18808791041374207,0.05789071798324511,0.9057291746139526,0.5264355540275574,0.12690833083888683,256,160,40,True,shuffled,0.09999999999999998,-0.13019719243049696,-0.3995272231886705
1,shuffled,0,__all__,0.5373006463050842,0.14410867852214965,-0.3931919677829346,0.575,0.575,0.475,0.575,0.006770214531570673,6.567658839271061e-05,0.012303367257118225,0.6066847443580627,0.039097386850064496,256,160,40,True,shuffled,-0.09999999999999998,-0.006704537943177963,-0.5675873575079983
1,shuffled,1,__all__,0.525253415107727,0.5223623514175415,-0.002891063690185547,0.65,0.575,0.625,0.575,0.39553102850914,0.39501747488975525,0.3973553776741028,0.9960299134254456,0.9942190051078796,256,160,40,True,shuffled,0.050000000000000044,-0.0005135536193847656,-0.001810908317565918
1,shuffled,2,__all__,0.5250314474105835,-0.5186867165797343,-1.043718163990318,0.6,0.625,0.35,0.675,0.3949803411960602,-0.3928788324802747,0.39849600195884705,0.991883397102356,-0.9860304141443734,256,160,40,True,shuffled,-0.275,-0.787859173676335,-1.9779138112467294
1,shuffled,3,__all__,0.5249657034873962,-0.484889417886734,-1.0098551213741302,0.6,0.625,0.375,0.625,0.39176589250564575,-0.36553770303726196,0.3977881371974945,0.9857962131500244,-0.9196325540542603,256,160,40,True,shuffled,-0.25,-0.7573035955429077,-1.9054287672042847
1,shuffled,4,__all__,0.5264164805412292,0.49043965339660645,-0.0359768271446228,0.625,0.625,0.6,0.65,0.3861299157142639,0.3709678053855896,0.39699941873550415,0.9739900231361389,0.9334661364555359,256,160,40,True,shuffled,-0.025000000000000022,-0.015162110328674316,-0.04052388668060303
1,shuffled,5,__all__,0.5316967964172363,-0.4492217144642387,-0.9809185108814751,0.675,0.6,0.35,0.575,0.37625065445899963,-0.3246448841925078,0.3973206877708435,0.950952410697937,-0.8170918518373356,256,160,40,True,shuffled,-0.25,-0.7008955386515074,-1.7680442625352726
1,shuffled,6,__all__,0.5437833666801453,0.448725163936615,-0.09505820274353027,0.65,0.675,0.575,0.65,0.3490373194217682,0.3160335421562195,0.39852845668792725,0.8901383876800537,0.7896204590797424,256,160,40,True,shuffled,-0.10000000000000009,-0.033003777265548706,-0.10051792860031128
1,shuffled,7,__all__,0.5502026081085205,-0.44164597036384423,-0.9918485784723647,0.625,0.65,0.325,0.65,0.3334490954875946,-0.3055098857288217,0.39719849824905396,0.8565332889556885,-0.7757149879152903,256,160,40,True,shuffled,-0.325,-0.6389589812164163,-1.6322482768709787
1,shuffled,8,__all__,0.5557550191879272,0.30938512086868286,-0.24636989831924438,0.7,0.7,0.675,0.7,0.30763107538223267,0.19543763995170593,0.40001827478408813,0.7875673174858093,0.4738611578941345,256,160,40,True,shuffled,-0.02499999999999991,-0.11219343543052673,-0.3137061595916748
1,shuffled,9,__all__,0.5592002272605896,0.15972088752041208,-0.3994793397401775,0.675,0.65,0.6,0.65,0.2939959466457367,0.07096285061048281,0.40109843015670776,0.752022385597229,0.16895711625188523,256,160,40,True,shuffled,-0.050000000000000044,-0.2230330960352539,-0.5830652693453438
1,shuffled,10,__all__,0.5550838708877563,0.4222598075866699,-0.13282406330108643,0.625,0.6,0.65,0.6,0.29983216524124146,0.2028622329235077,0.40952759981155396,0.7535333633422852,0.49246907234191895,256,160,40,True,shuffled,0.050000000000000044,-0.09696993231773376,-0.2610642910003662
1,shuffled,11,__all__,0.5589332580566406,-0.34413025519077917,-0.9030635132474198,0.65,0.625,0.35,0.675,0.3065281808376312,-0.20672579641633146,0.41498294472694397,0.7618709206581116,-0.5047821090676554,256,160,40,True,shuffled,-0.275,-0.5132539772539627,-1.266653029725767
1,shuffled,12,__all__,0.557881236076355,-0.2220776528120041,-0.7799588888883591,0.625,0.65,0.475,0.625,0.30491748452186584,-0.13100764155387878,0.4171411395072937,0.754414439201355,-0.3115617632865906,256,160,40,True,shuffled,-0.17500000000000004,-0.43592512607574463,-1.0659762024879456
1,shuffled,13,__all__,0.559734582901001,0.1865038506784468,-0.3732307322225542,0.675,0.675,0.6,0.7,0.3266562819480896,0.08792217782009001,0.43428748846054077,0.7801851034164429,0.18583816461507915,256,160,40,True,shuffled,-0.07500000000000007,-0.23873410412799959,-0.5943469388013637
1,shuffled,14,__all__,0.5640339851379395,0.3335959721882068,-0.23043801294973265,0.65,0.65,0.675,0.65,0.34972333908081055,0.21159281121748222,0.4368017613887787,0.8254808187484741,0.45648439999930374,256,160,40,True,shuffled,0.025000000000000022,-0.13813052786332833,-0.3689964187491704
1,shuffled,15,__all__,0.575058102607727,0.19595239370423143,-0.3791057089034956,0.65,0.625,0.6,0.6,0.33950966596603394,0.2048937497573248,0.44201165437698364,0.7983107566833496,0.4416788098985043,256,160,40,True,shuffled,-0.025000000000000022,-0.13461591620870914,-0.35663194678484533
1,shuffled,16,__all__,0.5833808183670044,0.2875777679112829,-0.2958030504557215,0.7,0.675,0.6,0.65,0.32995590567588806,0.20296142584548704,0.44358959794044495,0.7781490087509155,0.3975354461969867,256,160,40,True,shuffled,-0.07500000000000007,-0.12699447983040102,-0.3806135625539288
1,shuffled,17,__all__,0.5887057185173035,0.015317111609410367,-0.5733886069078931,0.7,0.7,0.6,0.675,0.3630465269088745,0.0074462536112906335,0.47327709197998047,0.8027268052101135,0.05051330966325272,256,160,40,True,shuffled,-0.09999999999999998,-0.35560027329758387,-0.7522134955468608
1,shuffled,18,__all__,0.6011154651641846,0.011671666987240314,-0.5894437981769443,0.675,0.7,0.8,0.675,0.36457234621047974,0.029550183564424515,0.48705998063087463,0.7904877662658691,0.031499724835157394,256,160,40,True,shuffled,0.10000000000000009,-0.3350221626460552,-0.7589880414307117
1,shuffled,19,__all__,0.6092758178710938,-0.13786537945270538,-0.7471411973237991,0.725,0.7,0.375,0.725,0.3556365668773651,-0.13992804288864136,0.5010057687759399,0.7684469223022461,-0.20511707663536072,256,160,40,True,shuffled,-0.32499999999999996,-0.49556460976600647,-0.9735639989376068
1,shuffled,20,__all__,0.6304808855056763,-0.1711006696149659,-0.8015815551206422,0.7,0.65,0.275,0.65,0.35224246978759766,-0.11751056637025967,0.5373553037643433,0.7331476807594299,-0.20026328580710778,256,160,40,True,shuffled,-0.375,-0.46975303615785735,-0.9334109665665378
1,shuffled,21,__all__,0.6347137093544006,0.04806536924732431,-0.5866483401070763,0.65,0.625,0.45,0.625,0.3456169664859772,0.015093621985657769,0.5338504314422607,0.7264501452445984,0.04348703233993828,256,160,40,True,shuffled,-0.175,-0.3305233445003194,-0.68296311290466
1,shuffled,22,__all__,0.636487603187561,-0.12787930216529783,-0.7643669053528589,0.7,0.65,0.325,0.65,0.3493412137031555,-0.09296853981083164,0.5512226223945618,0.7201899290084839,-0.1568289948261494,256,160,40,True,shuffled,-0.325,-0.44230975351398716,-0.8770189238346333
